"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Middlesex County, MA"	"25017"	16324	1611699	10.128
	"Norfolk County, MA"	"25021"	7258	706775	10.269
	"Plymouth County, MA"	"25023"	5232	521202	10.038
	"Suffolk County, MA"	"25025"	8792	803907	10.937
	"Worcester County, MA"	"25027"	8491	830622	10.222
	"Unidentified Counties, MA"	"25999"	860	98911	8.695
	"Allegan County, MI"	"26005"	1305	118081	11.052
	"Bay County, MI"	"26017"	925	103126	8.970
	"Berrien County, MI"	"26021"	1611	153401	10.502
	"Calhoun County, MI"	"26025"	1471	134159	10.965
	"Eaton County, MI"	"26045"	1094	110268	9.921
	"Genesee County, MI"	"26049"	4582	405813	11.291
	"Ingham County, MI"	"26065"	3056	292406	10.451
	"Jackson County, MI"	"26075"	1661	158510	10.479
	"Kalamazoo County, MI"	"26077"	2991	265066	11.284
	"Kent County, MI"	"26081"	8174	656955	12.442
	"Livingston County, MI"	"26093"	1769	191995	9.214
	"Macomb County, MI"	"26099"	9118	873972	10.433
	"Monroe County, MI"	"26115"	1514	150500	10.060
	"Muskegon County, MI"	"26121"	1955	173566	11.264
	"Oakland County, MI"	"26125"	12899	1257584	10.257
	"Ottawa County, MI"	"26139"	3226	291830	11.054
	"Saginaw County, MI"	"26145"	2117	190539	11.111
	"St. Clair County, MI"	"26147"	1529	159128	9.609
	"Washtenaw County, MI"	"26161"	3558	367601	9.679
	"Wayne County, MI"	"26163"	22559	1749343	12.896
	"Unidentified Counties, MI"	"26999"	20772	2183014	9.515
	"Anoka County, MN"	"27003"	4186	356921	11.728
	"Dakota County, MN"	"27037"	5177	429021	12.067
	"Hennepin County, MN"	"27053"	15431	1265843	12.190
	"Olmsted County, MN"	"27109"	2029	158293	12.818
	"Ramsey County, MN"	"27123"	7158	550321	13.007
	"St. Louis County, MN"	"27137"	1901	199070	9.549
	"Scott County, MN"	"27139"	1691	149013	11.348
	"Stearns County, MN"	"27145"	1989	161075	12.348
	"Washington County, MN"	"27163"	2702	262440	10.296
	"Wright County, MN"	"27171"	1687	138377	12.191
	"Unidentified Counties, MN"	"27999"	22076	1969258	11.210
	"DeSoto County, MS"	"28033"	2123	184945	11.479
	"Harrison County, MS"	"28047"	2649	208080	12.731
	"Hinds County, MS"	"28049"	3028	231840	13.061
	"Jackson County, MS"	"28059"	1574	143617	10.960
	"Rankin County, MS"	"28121"	1736	155271	11.180
	"Unidentified Counties, MS"	"28999"	25526	2052396	12.437
	"Boone County, MO"	"29019"	2075	180463	11.498
	"Clay County, MO"	"29047"	3087	249948	12.351
	"Franklin County, MO"	"29071"	1222	103967	11.754
	"Greene County, MO"	"29077"	3421	293086	11.672
	"Jackson County, MO"	"29095"	8838	703011	12.572
	"Jasper County, MO"	"29097"	1542	121328	12.709
	"Jefferson County, MO"	"29099"	2506	225081	11.134
	"St. Charles County, MO"	"29183"	4305	402022	10.708
	"St. Louis County, MO"	"29189"	11392	994205	11.458
	"St. Louis city, MO"	"29510"	3951	300576	13.145
	"Unidentified Counties, MO"	"29999"	29788	2563741	11.619
	"Missoula County, MT"	"30063"	1074	119600	8.980
	"Yellowstone County, MT"	"30111"	1866	161300	11.569
	"Unidentified Counties, MT"	"30999"	8139	787878	10.330
	"Douglas County, NE"	"31055"	8043	571327	14.078
	"Lancaster County, NE"	"31109"	3670	319090	11.501
	"Sarpy County, NE"	"31153"	2446	187196	13.067
	"Unidentified Counties, NE"	"31999"	10596	856795	12.367
	"Clark County, NV"	"32003"	26266	2266715	11.588
	"Washoe County, NV"	"32031"	5216	471519	11.062
	"Unidentified Counties, NV"	"32999"	3590	341922	10.499
	"Hillsborough County, NH"	"33011"	4135	417025	9.915
	"Merrimack County, NH"	"33013"	1213	151391	8.012
	"Rockingham County, NH"	"33015"	2652	309769	8.561
	"Strafford County, NH"	"33017"	1144	130633	8.757
	"Unidentified Counties, NH"	"33999"	2695	350893	7.680
	"Atlantic County, NJ"	"34001"	2839	263670	10.767
	"Bergen County, NJ"	"34003"	9006	932202	9.661
	"Burlington County, NJ"	"34005"	4419	445349	9.923
	"Camden County, NJ"	"34007"	6123	506471	12.090
	"Cumberland County, NJ"	"34011"	1832	149527	12.252
	"Essex County, NJ"	"34013"	9917	798975	12.412
	"Gloucester County, NJ"	"34015"	2923	291636	10.023
	"Hudson County, NJ"	"34017"	9975	672391	14.835
	"Hunterdon County, NJ"	"34019"	997	124371	8.016
	"Mercer County, NJ"	"34021"	4103	367430	11.167
	"Middlesex County, NJ"	"34023"	8516	825062	10.322
	"Monmouth County, NJ"	"34025"	5664	618795	9.153
	"Morris County, NJ"	"34027"	4486	491845	9.121
	"Ocean County, NJ"	"34029"	9028	607186	14.869
	"Passaic County, NJ"	"34031"	6394	501826	12.741
	"Somerset County, NJ"	"34035"	3057	328934	9.294
	"Sussex County, NJ"	"34037"	1209	140488	8.606
	"Union County, NJ"	"34039"	6653	556341	11.958
	"Warren County, NJ"	"34041"	968	105267	9.196
	"Unidentified Counties, NJ"	"34999"	1476	154424	9.558
	"Bernalillo County, NM"	"35001"	7005	679121	10.315
	"Dona Ana County, NM"	"35013"	2631	218195	12.058
	"Sandoval County, NM"	"35043"	1380	146748	9.404
	"San Juan County, NM"	"35045"	1430	123958	11.536
	"Santa Fe County, NM"	"35049"	1176	150358	7.821
	"Unidentified Counties, NM"	"35999"	9338	778449	11.996
	"Albany County, NY"	"36001"	2892	305506	9.466
	"Bronx County, NY"	"36005"	19327	1418207	13.628
	"Broome County, NY"	"36007"	1964	190488	10.310
	"Chautauqua County, NY"	"36013"	1335	126903	10.520
	"Dutchess County, NY"	"36027"	2701	294218	9.180
	"Erie County, NY"	"36029"	9698	918702	10.556
	"Jefferson County, NY"	"36045"	1807	109834	16.452
	"Kings County, NY"	"36047"	37153	2559903	14.513
	"Monroe County, NY"	"36055"	7913	741770	10.668
	"Nassau County, NY"	"36059"	13810	1356924	10.177
	"New York County, NY"	"36061"	16577	1628706	10.178
	"Niagara County, NY"	"36063"	2066	209281	9.872
	"Oneida County, NY"	"36065"	2489	228671	10.885
	"Onondaga County, NY"	"36067"	5051	460528	10.968
	"Ontario County, NY"	"36069"	964	109777	8.781
	"Orange County, NY"	"36071"	5199	384940	13.506
	"Oswego County, NY"	"36075"	1233	117124	10.527
	"Queens County, NY"	"36081"	27063	2253858	12.007
	"Rensselaer County, NY"	"36083"	1608	158714	10.131
	"Richmond County, NY"	"36085"	5283	476143	11.095
	"Rockland County, NY"	"36087"	5714	325789	17.539
	"St. Lawrence County, NY"	"36089"	984	107740	9.133
	"Saratoga County, NY"	"36091"	2062	229863	8.971
	"Schenectady County, NY"	"36093"	1798	155299	11.578
	"Suffolk County, NY"	"36103"	15036	1476601	10.183
	"Tompkins County, NY"	"36109"	704	102180	6.890
	"Ulster County, NY"	"36111"	1526	177573	8.594
	"Westchester County, NY"	"36119"	9880	967506	10.212
	"Unidentified Counties, NY"	"36999"	17702	1860813	9.513
	"Alamance County, NC"	"37001"	1863	169509	10.991
	"Brunswick County, NC"	"37019"	1026	142820	7.184
	"Buncombe County, NC"	"37021"	2463	261191	9.430
	"Cabarrus County, NC"	"37025"	2538	216453	11.725
	"Catawba County, NC"	"37035"	1687	159551	10.573
	"Craven County, NC"	"37049"	1319	102139	12.914
	"Cumberland County, NC"	"37051"	5462	335509	16.280
	"Davidson County, NC"	"37057"	1775	167609	10.590
	"Durham County, NC"	"37063"	4158	321488	12.934
	"Forsyth County, NC"	"37067"	4410	382295	11.536
	"Gaston County, NC"	"37071"	2598	224529	11.571
	"Guilford County, NC"	"37081"	6045	537174	11.253
	"Harnett County, NC"	"37085"	1860	135976	13.679
	"Henderson County, NC"	"37089"	1022	117417	8.704
	"Iredell County, NC"	"37097"	1883	181806	10.357
	"Johnston County, NC"	"37101"	2522	209339	12.047
	"Mecklenburg County, NC"	"37119"	14401	1110356	12.970
	"New Hanover County, NC"	"37129"	2172	234473	9.263
	"Onslow County, NC"	"37133"	3820	197938	19.299
	"Orange County, NC"	"37135"	1163	148476	7.833
	"Pitt County, NC"	"37147"	2079	180742	11.503
	"Randolph County, NC"	"37151"	1546	143667	10.761
	"Robeson County, NC"	"37155"	1731	130625	13.252
	"Rowan County, NC"	"37159"	1548	142088	10.895
	"Union County, NC"	"37179"	2278	239859	9.497
	"Wake County, NC"	"37183"	12688	1111761	11.413
	"Wayne County, NC"	"37191"	1619	123131	13.149
	"Unidentified Counties, NC"	"37999"	31049	3060163	10.146
	"Cass County, ND"	"38017"	2444	181923	13.434
	"Unidentified Counties, ND"	"38999"	8010	580139	13.807
	"Allen County, OH"	"39003"	1268	102351	12.389
	"Ashtabula County, OH"	"39007"	1085	97241	11.158
	"Butler County, OH"	"39017"	4446	383134	11.604
	"Clark County, OH"	"39023"	1572	134083	11.724
	"Clermont County, OH"	"39025"	2234	206428	10.822
	"Columbiana County, OH"	"39029"	1020	101883	10.011
	"Cuyahoga County, OH"	"39035"	13935	1235072	11.283
	"Delaware County, OH"	"39041"	2120	209177	10.135
	"Fairfield County, OH"	"39045"	1733	157574	10.998
	"Franklin County, OH"	"39049"	18400	1316756	13.974
	"Greene County, OH"	"39057"	1739	168937	10.294
	"Hamilton County, OH"	"39061"	10676	817473	13.060
	"Lake County, OH"	"39085"	2181	230149	9.476
	"Licking County, OH"	"39089"	1989	176862	11.246
	"Lorain County, OH"	"39093"	3256	309833	10.509
	"Lucas County, OH"	"39095"	5229	428348	12.207
	"Mahoning County, OH"	"39099"	2434	228683	10.644
	"Medina County, OH"	"39103"	1688	179746	9.391
	"Miami County, OH"	"39109"	1238	106987	11.571
	"Montgomery County, OH"	"39113"	6395	531687	12.028
	"Portage County, OH"	"39133"	1355	162466	8.340
	"Richland County, OH"	"39139"	1423	121154	11.745
	"Stark County, OH"	"39151"	4108	370606	11.085
	"Summit County, OH"	"39153"	5838	541013	10.791
	"Trumbull County, OH"	"39155"	2150	197974	10.860
	"Warren County, OH"	"39165"	2401	234602	10.234
	"Wayne County, OH"	"39169"	1442	115710	12.462
	"Wood County, OH"	"39173"	1281	130817	9.792
	"Unidentified Counties, OH"	"39999"	29825	2692354	11.078
	"Canadian County, OK"	"40017"	1754	148306	11.827
	"Cleveland County, OK"	"40027"	2811	284014	9.897
	"Comanche County, OK"	"40031"	1725	120749	14.286
	"Oklahoma County, OK"	"40109"	11320	797434	14.196
	"Tulsa County, OK"	"40143"	8866	651552	13.608
	"Unidentified Counties, OK"	"40999"	22667	1954916	11.595
	"Clackamas County, OR"	"41005"	3798	418187	9.082
	"Deschutes County, OR"	"41017"	1828	197692	9.247
